[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\cgi.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1610565317.7276874
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\apps\config.py first seen with mtime 1610565300.430395
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\apps\__init__.py first seen with mtime 1610565300.4283962
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\cffi\api.py first seen with mtime 1626350172.6494234
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\logging\__init__.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1610565296.5163968
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1610565296.5243936
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1610565305.8186538
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1610565305.873623
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\importlib\abc.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\email\encoders.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1610565305.8626292
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1610565317.4095178
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\asyncio\windows_events.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\json\scanner.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1610565312.467885
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\core\paginator.py first seen with mtime 1610565317.110556
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\secrets.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\utils\timesince.py first seen with mtime 1610565318.3783817
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1610565317.243612
